#separator:tab
#html:true
#tags:minmaculate optimal player
#deck:Minmaculate Grid::Optimal Players
Front	Back
Anthony Swarzak	ARI, ATL, CHW, CLE, KCR, MIL, MIN, NYM, NYY, SEA
Billy Hamilton	ATL, CHC, CHW, CIN, FLA, KCR, MIN, NYM
Bruce Chen	ATL, BAL, BOS, CIN, CLE, HOU, KCR, NYM, PHI, TEX, WSN
Chase Anderson	ARI, BOS, CIN, COL, MIL, PHI, TBD, TEX, TOR
Dennis Cook	ANA, CHW, CLE, FLA, LAD, NYM, PHI, SFG, TEX
Edgar Renteria	ATL, BOS, CIN, DET, FLA, SFG, STL
Edwin Jackson	ARI, ATL, BAL, CHC, CHW, DET, FLA, LAD, OAK, SDP, STL, TBD, TOR, WSN
Fernando Rodney	ANA, ARI, CHC, DET, FLA, MIN, OAK, SDP, SEA, TBD, WSN
Jose Cruz	ARI, BOS, HOU, LAD, SDP, SEA, SFG, TBD, TOR
Jose Guillen	ANA, ARI, CIN, KCR, OAK, PIT, SEA, SFG, TBD, WSN
Ken Brett	ANA, BOS, CHW, KCR, LAD, MIL, MIN, NYY, PHI, PIT
LaTroy Hawkins	ANA, BAL, CHC, COL, HOU, MIL, MIN, NYM, NYY, SFG, TOR
Lance Parrish	ANA, CLE, DET, PHI, PIT, SEA, TOR
Lew Burdette	ANA, ATL, CHC, NYY, PHI, STL
Matt Stairs	BOS, CHC, DET, KCR, MIL, OAK, PHI, PIT, SDP, TEX, TOR, WSN
Mike Morgan	ARI, BAL, CHC, CIN, LAD, MIN, NYY, OAK, SEA, STL, TEX, TOR
Octavio Dotel	ATL, CHW, COL, DET, HOU, KCR, LAD, NYM, NYY, OAK, PIT, STL, TOR
Rich Hill	ANA, BAL, BOS, CHC, CLE, LAD, MIN, NYM, NYY, OAK, PIT, SDP, TBD
Ron Villone	CIN, CLE, COL, FLA, HOU, MIL, NYY, PIT, SDP, SEA, STL, WSN
