#separator:tab
#html:true
#tags:minmaculate pair
#deck:Minmaculate Grid::Pairs
Front	Back
ANA - ARI	<b>Optimal:</b> Fernando Rodney, Jose Guillen<br><b>Twins:</b> Fernando Rodney
ANA - ATL	<b>Optimal:</b> Lew Burdette<br><b>Twins:</b> Gio Urshela, Ron Kline
ANA - BAL	<b>Optimal:</b> LaTroy Hawkins, Rich Hill<br><b>Twins:</b> LaTroy Hawkins, Rich Hill
ANA - BOS	<b>Optimal:</b> Ken Brett, Rich Hill<br><b>Twins:</b> Ken Brett, Orlando Cabrera, Rich Hill, Ron Kline
ANA - CHC	<b>Optimal:</b> Fernando Rodney, LaTroy Hawkins, Lew Burdette, Rich Hill<br><b>Twins:</b> Fernando Rodney, LaTroy Hawkins, Rich Hill
ANA - CHW	<b>Optimal:</b> Dennis Cook, Ken Brett<br><b>Twins:</b> Ken Brett, Orlando Cabrera, Pat Borders
ANA - CIN	<b>Optimal:</b> Jose Guillen<br><b>Twins:</b> Orlando Cabrera
ANA - CLE	<b>Optimal:</b> Dennis Cook, Lance Parrish, Rich Hill<br><b>Twins:</b> Gio Urshela, Orlando Cabrera, Pat Borders, Rich Hill
ANA - COL	<b>Optimal:</b> LaTroy Hawkins<br><b>Twins:</b> LaTroy Hawkins
ANA - DET	<b>Optimal:</b> Fernando Rodney, Lance Parrish<br><b>Twins:</b> Fernando Rodney, Gio Urshela, Ron Kline
ANA - FLA	<b>Optimal:</b> Dennis Cook, Fernando Rodney<br><b>Twins:</b> Fernando Rodney
ANA - HOU	<b>Optimal:</b> LaTroy Hawkins<br><b>Twins:</b> LaTroy Hawkins, Pat Borders
ANA - KCR	<b>Optimal:</b> Jose Guillen, Ken Brett<br><b>Twins:</b> Ken Brett, Pat Borders
ANA - LAD	<b>Optimal:</b> Dennis Cook, Ken Brett, Rich Hill<br><b>Twins:</b> Ken Brett, Rich Hill
ANA - MIL	<b>Optimal:</b> Ken Brett, LaTroy Hawkins<br><b>Twins:</b> Ken Brett, LaTroy Hawkins
ANA - MIN	<b>Optimal:</b> Fernando Rodney, Ken Brett, LaTroy Hawkins, Rich Hill<br><b>Twins:</b> Fernando Rodney, Gio Urshela, Ken Brett, LaTroy Hawkins, Orlando Cabrera, Pat Borders, Rich Hill, Ron Kline
ANA - NYM	<b>Optimal:</b> Dennis Cook, LaTroy Hawkins, Rich Hill<br><b>Twins:</b> LaTroy Hawkins, Rich Hill
ANA - NYY	<b>Optimal:</b> Ken Brett, LaTroy Hawkins, Lew Burdette, Rich Hill<br><b>Twins:</b> Gio Urshela, Ken Brett, LaTroy Hawkins, Rich Hill
ANA - OAK	<b>Optimal:</b> Fernando Rodney, Jose Guillen, Rich Hill<br><b>Twins:</b> Fernando Rodney, Orlando Cabrera, Rich Hill
ANA - PHI	<b>Optimal:</b> Dennis Cook, Ken Brett, Lance Parrish, Lew Burdette<br><b>Twins:</b> Ken Brett
ANA - PIT	<b>Optimal:</b> Jose Guillen, Ken Brett, Lance Parrish, Rich Hill<br><b>Twins:</b> Ken Brett, Rich Hill, Ron Kline
ANA - SDP	<b>Optimal:</b> Fernando Rodney, Rich Hill<br><b>Twins:</b> Fernando Rodney, Rich Hill
ANA - SEA	<b>Optimal:</b> Fernando Rodney, Jose Guillen, Lance Parrish<br><b>Twins:</b> Fernando Rodney, Pat Borders
ANA - SFG	<b>Optimal:</b> Dennis Cook, Jose Guillen, LaTroy Hawkins<br><b>Twins:</b> LaTroy Hawkins, Orlando Cabrera, Ron Kline
ANA - STL	<b>Optimal:</b> Lew Burdette<br><b>Twins:</b> Pat Borders, Ron Kline
